1-2                    EXTRA CORSA
2-4                    ALT E BOTTONIERA MANUTENZIONE
4-5                    INTER FOSSA
5-6                    ALT CABINA
6-6A                   CEV
6-7                    PARACADUTE
7-8                    PRELIMINARI
8-9                    PORTE CABINA
9-10                   BLOCCHI
MA-MB-GND              DEVIATORE MANUTENZIONE
0-ULTIMO               PULSANTI ISPEZIONE SU PERIF. (OPPURE UP-DW SU QUADRO)
CE-0, CE-1...          CHIAMATE ESTERNE(SU PERIFERICA QUADRO)
CB-0, CB-1...          CHIAMATE DI CABINA(SU PERIFERICA QUADRO)
GND-UP, GND-DW         PULSANTI OPZIONALI ISPEZIONE
GND-FCD                BISTABILE FINE CORSA DISCESA
GND-FCS                BISTABILE FINE CORSA SALITA
GND-ID INDUTTORE (NO)  CONTEGGIO E FERMATA DISCESA
GND-IS INDUTTORE (NO)  CONTEGGIO E FERMATA SALITA
GND-FM                 FONDO MOBILE
GND-PA                 PULSANTE APERTURA PORTE
GND-SVR                CONTATTO SOVRACCARICO
GND-CM1                COSTOLA MOBILE -FOTOCELLULA LATO1
GND-CM2                COSTOLA MOBILE-FOTOCELLULA LATO2
CFC-FA1                CONTATTO FINECORSA APERTURA PORTE LATO 1
CFC-FC1                CONTATTO FINECORSA CHIUSURA PORTE LATO 1
CFC-FA2                CONTATTO FINECORSA APERTURA PORTE LATO 2
CFC-FC2                CONTATTO FINECORSA CHIUSURA PORTE LATO 2
CL-0, CL-1...          SEGNALAZIONE POSIZIONE (SU PERIFERICA QUADRO)
CL-FS                  SEGNALAZIONE FRECCIA SALITA
CL-FD                  SEGNALAZIONE FRECCIA DISCESA
CL-SV                  SEGNALAZIONE SOVRACCARICO
CL-GON                 SEGNALAZIONE GONG IN CABINA
CL-OCC                 SEGNALAZIONE OCCUPATO
PE                     RITORNO PRESENTE-ALIM.FOTOCELLULE
CL                     COMUNE LUMINOSE-ALIM.FOTOCELLULE

AL1-AL2                PULSANTE ALLARME
AL2-AL3                SUONERIA ALLARME
R-S-T                  LINEA TRIFASE
U-V-W                  MOTORE ARGANO ALTA VELOCITA
Z-Z                    RESISTENZA FRENATURA ESTERNA
L1-L2                  LINEA 220 VAC
L1-L3                  LUCE A TEMPO
LF-LF                  ALIMENTAZIONE OPERATORE PORTE ELETTR. (220VAC O 24VAC)
