M1-M1-M1               MOTORE PORTE TRIFASE LATO1
BRO-BR1                BOBINA RALLENTAMENTO LATO1
BR1-RA1                CONTATTO RALL.APERTURA LATO1
BR1-RC1                CONTATTO RALL.CHIUSURA LATO1
M2-M2-M2               MOTORE PORTE TRIFASE LATO2
BRO-BR2                BOBINA RALLENTAMENTO LATO2
BR2-RA2                CONTATTO RALL.APERTURA LATO2
BR2-RC2                CONTATTO RALL.CHIUSURA LATO2
M1-M1                  MOTORE PORTE 48VCC LATO1
BR1-RA1                CONTATTO RALL.APERTURA LATO1
BR1-RC1                CONTATTO RALL.CHIUSURA LATO1
M2-M2                  MOTORE PORTE 48VCC LATO2
BR2-RA2                CONTATTO RALL.APERTURA LATO2
BR2-RC2                CONTATTO RALL.CHIUSURA LATO2
COM-AP1                COMANDO APERTURA PORTE LATO 1 OPERATORE ELETTRONICO
COM-CP1                COMANDO CHIUSURA PORTE LATO 1 OPERATORE ELETTRONICO
COM-AP2                COMANDO APERTURA PORTE LATO 2 OPERATORE ELETTRONICO
COM-CP2                COMANDO CHIUSURA PORTE LATO 2 OPERATORE ELETTRONICO

GND-IAX                INDUTTORE FERMATA CON PIANI CORTI ESTREMI

AL- - AL1              PULSANTE ALLARME
AL- - ALR              SPIA ALLARME RICEVUTO
AL- - ALP              LUMINOSA ALLARME AI PIANI
AL- - PAR              PULSANTE ALLARME RICEVUTO
AL- - PRS              PULSANTE RESET ALLRME
AL- - AL+              ALIMENTAZIONE CITOFONO IN ALLARME
AL+ - AL2              SUONERIA ALLARME
AL+ - LEM              LUCE EMERGENZA 12 VDC

THV-THV                CONT.TERMICO VENTOLA MOTORE
RVF-RVF-RVF            MOTORE VENTOLA RAFFREDDAMENTO

FR+/FR-                FRENO ARGANO CORRENTE CONTINUA
FR-FR-FR               FRENO ARGANO TRIFASE
PR+/PR-                PATTINO RETRATTILE
TN                     COMUNE TERRE QUADRO
